id	style	word	pronunciation	etymology
PWN:amazed.s.01		astonied		
PWN:amazed.s.01		astonished		:*ex-tonāre
PWN:amazed.s.01		astounded		
PWN:amazed.s.01		stunned		
PWN:amazed.s.01		surprised		:super prēndere
PWN:amazon.n.03		Amazon		
PWN:amazon.n.03		Amazon river		
PWN:ambassador.n.01		ambassador		
PWN:ambassador.n.01		embassador		
PWN:ambition.n.01		ambition		
PWN:ambition.n.01		aspiration		
PWN:ambition.n.01		dream		
PWN:ambition.n.02		ambition		
PWN:ambition.n.02		ambitiousness		
PWN:ambulance.n.01		ambulance		
PWN:ambush.n.01		ambuscade		
PWN:ambush.n.01		ambush		:*imboscāre
PWN:ambush.n.01		lying in wait		
PWN:ambush.n.01		trap		
