CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	IDS_ID	ENGLISH	RELATION	PWN_WORD_SENSE_ID	PWN_DEFINITION	PWN_SYNSET	PWN_POS
1537	SPRINGTIME	137	S14.750	the spring(2)	ss	spring%1:28:00::	"the season of growth; ""the emerging buds were a sure sign of spring""; ""he will hold office until the spring of next year"""	n15237044	n
1599	WORD	138	S18.260	the word	ss	word%1:10:00::	"a unit of language that native speakers can identify; ""words are the blocks from which sentences are made""; ""he hardly said ten words all morning"""	n06286395	n
1758	OLDER SISTER	139	S02.454	the older sister	ss	big_sister%1:18:00::	an older sister	n09854218	n
1190	HARE	140	S03.8630	the hare	ss	hare%1:05:00::	swift timid long-eared mammal larger than a rabbit having a divided upper lip and long hind legs; young born furred and with open eyes	n02326432	n
334	COOKHOUSE	141	S07.170	the cookhouse	ss	cookhouse%1:06:01::	"a detached or outdoor shelter for cooking; ""the circus used a tent as their cookhouse"""	n03101375	n
102	COMMON COLD (DISEASE)	142	S04.843	the cold	ss	cold%1:26:00::	"a mild viral infection involving the nose and respiratory passages (but not the lungs); ""will they never find a cure for the common cold?"""	n14145501	n
1733	RAINBOW	143	S01.590	the rainbow	ss	rainbow%1:17:00::	an arc of colored light in the sky caused by refraction of the sun's rays by rain	n09403427	n
1745	HIP	144	S04.463	the hip	ss	hip%1:08:00::	either side of the body below the waist and above the thigh	n05556325	n
773	HAVE	145	S11.110	to have	ss	have%2:40:00::	"have or possess, either in a concrete or an abstract sense; ""She has $1,000 in the bank""; ""He has got two beautiful daughters""; ""She holds a Master's degree from Harvard"""	v02203362	v
1223	HEART	146	S04.440	the heart	ss	heart%1:08:00::	"the hollow muscular organ located behind the sternum and between the lungs; its rhythmic contractions move the blood through the body; ""he stood still, his heart thumping wildly"""	n05388805	n
630	LIGHT (RADIATION)	147	S01.610	the light	ss	light%1:07:01::	"the quality of being luminous; emitting or reflecting light; ""its luminosity is measured relative to that of our sun"""	n05018103	n
1430	STAR	148	S01.540	the star	ss	star%1:17:01::	any celestial body visible (as a point of light) from the Earth at night	n09444783	n
1914	DEBT	149	S11.640	the debt	ss	debt%1:21:00::	money or goods or services owed by one person to another	n13397174	n
1065	SPIDER WEB	150	S03.819	the spider web	ss	spider_web%1:06:00::	a web spun by spiders to trap insect prey	n04275363	n
597	PHYSICIAN	151	S04.870	the physician	ss	physician%1:18:00::	"a licensed medical practitioner; ""I felt so bad I went to see my doctor"""	n10020890	n
805	SPINE	152	S04.191	the spine	ss	spine%1:08:00::	"the series of vertebrae forming the axis of the skeleton and protecting the spinal cord; ""the fall broke his back"""	n05588174	n
1671	TOWER	153	S20.360	the tower	ss	tower%1:06:00::	a structure taller than its diameter; can stand alone or be attached to a larger building	n04460130	n
72	CLAW	154	S04.345	the claw	ss	claw%1:05:00::	sharp curved horny process on the toe of a bird or some mammals or reptiles	n02156140	n
1453	WASH	155	S09.360	to wash	ui	wash%2:35:00::	"cleanse with a cleaning agent, such as soap, and water; ""Wash the towels, please!"""	v01535246	v
391	BLESS	156	S22.230	to bless	ss	bless%2:32:00::	"give a benediction to; ""The dying man blessed his son"""	v00866505	v
1609	IDEA	157	S17.190	the idea	ss	idea%1:09:00::	"the content of cognition; the main thing you are thinking about; ""it was not a good idea""; ""the thought never entered my mind"""	n05833840	n
189	HAIR (BODY)	158	S04.144	the body hair	ss	body_hair%1:08:00::	short hair growing over a person's body	n05255578	n
336	PADLOCK	159	S07.2320	the padlock	ss	padlock%1:06:00::	a detachable lock; has a hinged shackle that can be passed through the staple of a hasp or the links in a chain and then snapped shut	n03874599	n
1077	WHEAT	160	S08.430	the wheat	ss	wheat%1:20:00::	annual or biennial grass having erect flower spikes and light brown grains	n12142085	n
325	FELT	161	S06.270	the felt	ss	felt%1:06:00::	a fabric made of compressed matted animal fibers	n03326795	n
843	SPIDER	162	S03.818	the spider	ss	spider%1:05:00::	predatory arachnid with eight legs, two poison fangs, two feelers, and usually two silk-spinning organs at the back end of the body; they spin silk to make cocoons for eggs or traps for prey	n01772222	n
1901	SHOVEL	163	S08.240	the shovel	ss	shovel%1:06:00::	a hand tool for lifting loose material; consists of a curved container or scoop and a handle	n04208210	n
1535	SWORD	164	S20.270	the sword	ss	sword%1:06:00::	a cutting or thrusting weapon that has a long metal blade and a hilt with a hand guard	n04373894	n
606	GRASS	165	S08.510	the grass	ss	grass%1:20:00::	narrow-leaved green herbage: grown as lawns; used as pasture for grazing animals; cut and dried as hay	n12102133	n
1889	ARSON	166	S21.460	the arson	ss	arson%1:04:00::	"malicious burning to destroy property; ""the British term for arson is fire-raising"""	n00378296	n
829	RAFTER	167	S07.540	the rafter	ss	rafter%1:06:00::	one of several parallel sloping beams that support a roof	n04045644	n
1446	COME	168	S10.480	to come	ss	come%2:38:04::	"reach a destination; arrive by movement or progress; ""She arrived home at 7 o'clock""; ""She didn't get to Chicago until after midnight"""	v02005948	v
981	ELBOW	169	S04.320	the elbow	ss	elbow%1:08:00::	hinge joint between the forearm and upper arm and the corresponding joint in the forelimb of a quadruped	n05579944	n
998	PUT	170	S12.120	to put	ss	put%2:35:00::	"put into a certain place or abstract location; ""Put your things here""; ""Set the tray down""; ""Set the dogs on the scent of the missing children""; ""Place emphasis on a certain point"""	v01494310	v
1680	HELMET	171	S20.330	the helmet	ss	helmet%1:06:00::	a protective headgear made of hard material to resist blows	n03513137	n
1417	KILL	172	S04.760	to kill	ui	kill%2:35:01::	"cause the death of, without intention; ""She was killed in the collision of three cars"""	v01325536	v
1757	TIRED	173	S04.910	tired	ss	tired%3:00:00::	"depleted of strength or energy; ""tired mothers with crying babies""; ""too tired to eat"""	a02431728	a
1620	SON	174	S02.410	the son	ss	son%1:18:00::	"a male human offspring; ""their son became a famous judge""; ""his boy is taller than he is"""	n10624074	n
1111	CAR	175	S23.1400	the car	ss	car%1:06:00::	"a motor vehicle with four wheels; usually propelled by an internal combustion engine; ""he needs a car to get to work"""	n02958343	n
1204	BARK	176	S08.750	the bark	ss	bark%1:20:00::	tough protective covering of the woody stems and roots of trees and other woody plants	n13162297	n
677	AXE	177	S09.250	the axe/ax	ui	ax%1:06:00::	an edge tool with a heavy bladed head mounted across a handle	n02764044	n
1280	FALL	178	S10.230	to fall	ss	fall%2:38:03::	"descend in free fall under the influence of gravity; ""The branch fell from the tree""; ""The unfortunate hiker fell into a crevasse"""	v01972298	v
1312	FOX	179	S03.740	the fox	ss	fox%1:05:00::	alert carnivorous mammal with pointed muzzle and ears and a bushy tail; most are predators that do not hunt in packs	n02118333	n
892	TIME	180	S14.110	the time	ss	time%1:03:00::	the continuum of experience in which events pass from the future through the present to the past	n00028270	n
1753	TOP	181	S12.330	the top	ss	top%1:15:02::	"the top or extreme point of something (usually a mountain or hill); ""the view from the peak was magnificent""; ""they clambered to the tip of Monadnock""; ""the region is a few molecules wide at the summit"""	n08617963	n
1556	YOLK	182	S05.971	the yolk	ss	yolk%1:13:00::	the yellow spherical part of an egg that is surrounded by the albumen	n07841345	n
1566	GUN	183	S20.280	the gun	ss	gun%1:06:00::	a weapon that discharges a missile at high velocity (especially from a metal tube or barrel)	n03467984	n
1170	TRAP (CATCH)	184	S20.650	to trap	ss	trap%2:35:00::	"catch in or as if in a trap; ""The men trap foxes"""	v01480770	v
3347	HIGH OR UP	185	S12.310	high	ui	high%4:02:00::	"in or to a high position, amount, or degree; ""prices have gone up far too high"""	r00356957	r
1811	SOUND OR NOISE	186	S15.440	the sound or noise	ui	noise%1:11:00::	"sound of any kind (especially unintelligible or dissonant sound); ""he enjoyed the street noises""; ""they heard indistinct noises of people talking""; ""during the firework display that ended the gala the noise reached 98 decibels"""	n07387509	n
1454	WIPE	187	S09.3110	to wipe	ss	wipe%2:35:00::	"rub with a circular motion; ""wipe the blackboard""; ""He passed his hands over the soft cloth"""	v01392237	v
1618	GRANDSON	188	S02.480	the grandson	ss	grandson%1:18:00::	a male grandchild	n10143299	n
615	HORSE	189	S03.410	the horse	ss	horse%1:05:00::	solid-hoofed herbivorous quadruped domesticated since prehistoric times	n02374451	n
1443	WALK	190	S10.450	to walk	ss	walk%2:38:00::	"use one's feet to advance; advance by steps; ""Walk, don't run!""; ""We walked instead of driving""; ""She walks with a slight limp""; ""The patient cannot walk yet""; ""Walk over to the cabinet"""	v01904930	v
32	EARWAX	191	S04.222	the earwax	ss	earwax%1:27:00::	a soft yellow wax secreted by glands in the ear canal	n15095103	n
