id	Definition
PWN:attribute.n.02	an abstraction belonging to or characteristic of an entity
PWN:august.n.01	The 8th month of the Gregorian calendar.
PWN:aunt.n.01	A woman with one or more siblings who have one or more children; a sister of someone's father or mother.
PWN:aurora_borealis.n.01	A natural light display in the sky particularly in the Arctic regions.
PWN:australia.n.01	Australia
PWN:authority.n.01	the power or right to give orders or make decisions
PWN:autism.n.01	A pervasive neurological condition that is observable in early childhood and persists throughout the lifespan, characterised by atypical communication, language development, eye contact, and sensory experiences.
PWN:automatic.a.01	Capable of operating without external control or intervention.
PWN:auxiliary.s.01	functioning in a supporting capacity
PWN:available.a.01	obtainable or accessible and ready for use or service
PWN:avaricious.s.01	Excessively desirous of money, wealth or possessions.
PWN:avaricious.s.01	immoderately desirous of acquiring e.g. wealth
PWN:avoid.v.01	stay clear from; keep away from; keep out of the way of someone or something
PWN:awake.a.01	Not sleeping.
PWN:awaken.v.01	Rouse from sleep.
PWN:awareness.n.01	The fact or state of knowing something.
PWN:away.r.01	going or being out from a particular thing or place or position
PWN:awl.n.01	Pointed tool for marking or piercing wood or leather.
PWN:ax.n.01	A tool for felling trees or chopping wood consisting of a heavy metallic or stone head flattened to a blade on one side, and which is attached to a usually wooden handle.
PWN:axle.n.01	The central part of a wheel, that usually does not turn.
PWN:baby.n.01	A very young human being, from birth to a year old.
PWN:back.n.01	The rear of body, especially the part between the neck and the end of the spine and opposite the chest and belly.
PWN:back.r.01	Toward the previous place or condition where one came from.
PWN:back.r.02	Moving in the direction of one's backside.
PWN:bad.a.01	Not good; unfavorable; negative.
PWN:bag.n.01	A container that stores things and is small enough so that one can wear it.
PWN:bait.n.02	Anything that serves as an enticement.
PWN:bake.v.02	To cook (something) in an oven, but not in fat, or harden by means of dry heat.
PWN:balance.n.01	a state of equilibrium
PWN:bald.s.02	Without hair on the head.
PWN:ball.n.01	round object that is hit or thrown or kicked in games
PWN:ball.n.03	Any spherical object.
PWN:ball.n.08	a compact mass of no particular shape
PWN:balloon.n.01	large tough nonrigid bag filled with gas or heated air
PWN:bamboo.n.01	A group of woody perennial evergreen plants in the true grass family Poaceae, subfamily Bambusoideae, tribe Bambuseae.
PWN:banana.n.01	The tropical treelike plant which bears clusters of bananas. The plant, of the genus Musa, has large, elongated leaves.
PWN:banana.n.02	The fruit of the banana tree.
PWN:bandicoot.n.01	Marsupial of Peramelemorphia order.
PWN:bantam.s.01	very small
PWN:banyan.n.01	A tropical Indian fig tree, Ficus benghalensis, that has many aerial roots.
PWN:bar.n.03	a rigid piece of metal or wood; usually used as a fastening or obstruction or weapon
PWN:bare.s.01	Without clothing.
PWN:barefoot.s.01	Not wearing anything on the feet.
PWN:barium.n.01	Barium, the chemical element with atomic number 56 and symbol Ba.
PWN:bark.n.01	The exterior covering of the trunk and branches of a tree.
PWN:bark.v.04	To produce a loud, short, explosive sound similar to that of a dog.
PWN:barley.n.02	A strong cereal of the genus Hordeum, or its grains, often used as food or to make malted drinks.
PWN:barrel.n.01	a tube through which a bullet travels when a gun is fired
PWN:barrel.n.02	A cylindrical container for liquids and food.
PWN:barrier.n.01	a structure or object that impedes free movement
PWN:barroom.n.01	Place where alcoholic drinks are served.
PWN:barter.v.01	To exchange goods with or without exchanging money.
PWN:base.n.14	base, node, station (point from which things go or are done)
PWN:baseball.n.01	a ball game played with a bat and ball between two teams of nine players; teams take turns at bat trying to score runs
PWN:basement.n.01	the lowermost portion of a structure partly or wholly below ground level; often used for storage
PWN:basket.n.01	A lightweight container, generally round, open at the top, and tapering toward the bottom.
