id	style	word	pronunciation	etymology
PWN:boat.n.01		mashua		hin:maččʰwā
PWN:body.n.01		mwili		
PWN:body_hair.n.01		malaika		
PWN:body_louse.n.01		chawa		
PWN:bohrium.n.01		bohri	
PWN:boil.n.01		jipu		
PWN:boil.v.01		-chemka		
PWN:boisterous.s.03		-chafuka		
PWN:bolt.n.03		komeo		
PWN:bomb.n.01		bomu		eng:bomb
PWN:bone.n.01		mfupa		
PWN:book.n.01		kitabu		arb:kitāb
PWN:boomerang.n.01		bumarengi		eng:boomerang
PWN:boot.n.01		buti		eng:boot
PWN:bore.v.02		-pekecha		
PWN:bore.v.02		-toboa		
PWN:boron.n.01		boroni	
PWN:borrow.v.01		-kopa		
PWN:bottle.n.01		chupa		
PWN:bottom.n.02		chini		
PWN:boundary.n.02		mpaka		
PWN:bow.n.04		uta		
PWN:bowl.n.01		tasa		pes:ṭass
PWN:box.n.01 		sanduku	
PWN:boxing.n.01		ndondi	
PWN:bracelet.n.02		bangili, bangiri		hin:bangli
PWN:braid.n.01		msongo		
PWN:braid.n.01		msuko		
PWN:braid.v.01		-fuma		
PWN:braid.v.01		-suka		
PWN:brain.n.01		ubongo	
PWN:brain.n.01		ubongo, bongo		
PWN:brainsick.s.01		-rukwa na akili		
PWN:brainsick.s.01		kichaa		
PWN:brainsick.s.01		mwenye wazimu		
PWN:brake.v.02		breki		eng:brake
PWN:branch.n.03		tawi		
PWN:brave.a.01		-piga moyo konde		
PWN:brave.a.01		jasiri, -jasiri		arb:ğasara (u); ǧasāra(t)
PWN:brave.a.01		shujaa		arb:šuğāˁ
PWN:bread.n.01		mkate		
PWN:break.v.05		-vunja		
PWN:breakfast.n.01		chakula cha asubuhi		
PWN:breakfast.n.01		kiamshakinywa, chamshakinywa		
PWN:breast.n.02		titi		
PWN:breast.n.02		ziwa (2)		
PWN:breathe.v.01		-pumua		
PWN:brick.n.01		tofali		pes:sufāl
PWN:bridge.n.01		daraja		arb:darağa(t)
PWN:bright.a.01		-ng’aa		
PWN:bring.v.01		-leta		
PWN:bring_around.v.02		-ponya		
PWN:broken.s.11		-vunjika		
PWN:bromine.n.01		bromi	
PWN:broom.n.01		ufagio		
PWN:brother.n.01		bradha	
PWN:brother.n.01		kaka		
PWN:brother.n.01		mdogo		
PWN:brother.n.01		mkubwa		
PWN:brother.n.01		ndugu		
PWN:brow.n.01		paji		
PWN:brown.s.01		kahawia	
PWN:bruise.n.01		chubuko		
PWN:brush.n.02		burashi	
PWN:brush.n.02		burashi, brashi		eng:brush
PWN:bull.n.01		fahali		arb:faḥl
PWN:bumble.v.03		-babaika		
PWN:bumble.v.03		-gugumia		
PWN:bunch.n.01		kicha		
PWN:bunch.n.01		mkungu (wa ndizi)		
PWN:burn.v.03		-ungua		
PWN:burn.v.03		-waka		
PWN:burn.v.07		-unguza		
PWN:bury.v.02		-zika		
PWN:bus.n.01		basi		eng:bus
PWN:busy.s.04		kushugulika	
PWN:butter.n.01		siagi		arb:sīrağ
PWN:butter_knife.n.01		kisu		
PWN:butterfly.n.01		kipepeo		
PWN:buttocks.n.01		tako		
PWN:button.n.01		kifungo		
PWN:buy.v.01		-nunua		
PWN:cabbage.n.01		kabeji	
PWN:cabbage.n.01		kabichi	
PWN:cadaver.n.01		maiti		arb:mait, mayyit; maita(t)
PWN:cadaver.n.01		mfu	
PWN:cadmium.n.01		kadimi	
PWN:caftan.n.02		juba	
PWN:calcium.n.01		kalisi	
PWN:calculate.v.01		hisabu	
