id	style	word	morphology	etymology
PLX:1PL POSS.pro		mein	me-i-n
PWN:free.a.01		vabad	vabad	hun:szabad, fin:vapaa, est:vaba
PWN:god.n.01		juma	juma	fin:jumala, est:jumal, mar:юмо (erz:ён+дол)
PWN:hair.n.01		vapte	vapte	fin:hapsi, sam:vuokta, mar:ӱп (üp), nenets:ӈэбт (ŋebt)
PWN:hand.n.01		käd	käd
PWN:head.n.01		pev	pev	fin:pää, est:pea, hun:fej, mok:erz:пе (pe), man:пуӈк
PWN:heart.n.02		südem	südem
PWN:heat.n.01		pos	pos	udm:kom:пӧсь (pösj), mok:erz:пси (psi)
PWN:hide.n.02		ked	ked	fin:kesi, mok:erz:кедь, udm:kom:ку
PWN:honey.n.01		med	med
PWN:horn.n.02		sarve	sarve
PWN:horse.n.01		lov	lov	hun:ló; lovak, man:лув, han:ӆов (ɬov), kom:вӧв (vöv)
PWN:hungarian.a.01		madjar	madjar
PWN:hungarian.n.02		madjar kel	madjar kel
PWN:hungary.n.01		Madjar ma	Madjar ma
PWN:ice.n.01		je	je	hun:jég, fin:est:jää, mok:erz:эй (ej), mar:ий (jij), udm:йӧ (jö), kom:йи (ji)
PWN:kernel.n.03		videm	videm
PWN:knee.n.01		polve	polve	fin:polvi, est:põlv, mar:пулву́й, nen:пулы
PWN:knit.v.01		kudni	kudni	fin:kutoa, est:kuduma, mok:erz:кодамс, udm:куыны, kom:кыны
PWN:knot.n.02		colme	colme	hun:csomó, fin:solmu, est:sõlm, mok:сюлма, erz:сюлмо, sam:čuolbma
PWN:know.v.01		tundeni	tunde-ni	hun:tud, fin:tuntea, est:tundma, mok:erz:содамс, udm:тодыны, kom:тöдны
PWN:komi.n.02		komi kel	komi kel
PWN:lake.n.01		tov	tov	hun:tó, udm:kom:ты, man:то̄
PWN:lamp.n.01		lampa	lampa
PWN:land.n.04		ma	ma
PWN:lapp.n.02		saame keli	saame keli
PWN:lip.n.01		turva	turva
PWN:liver.n.01		maksa	maksa
PWN:louse.n.01		täj	täj
PWN:luminosity.n.01		valge	valge	fin:valkea, est:valge, erz:валдо, mar:волгыдо  + sam:vielgat + udm:-валь + hun:világ
PWN:male_child.n.01		poj	poj	fin:poika, est:poeg, hun:fi, man:пыг, udm:kom:пи, mar:пӱергы, erz:пиё
PWN:marrow.n.01		lu videm	lu videm
PWN:milk.n.01		tej	tej	hun:tej
PWN:moon.n.01		kov	kov	hun:ho(ld), fin:est:kuu, mok:erz:ков
PWN:mordva.n.02		mokšerzja kel	mokšerzja kel
PWN:mouse.n.01		siger	siger
PWN:mouth.n.01		su	su	fin:est:suu, man:сӯп, hun:száj
PWN:nail.n.01		künze	künze
PWN:neck.n.01		seba	seba	saa:čeabet, mar:шӱй (šüj), vep:seba, mok:erz:сиве, udm:силь, kom:сьылі, han:сапаӆ + fin:sepä
PWN:needle.n.03		äjm	äjm	fin:äimä, mar:име, kom:ем
PWN:nest.n.01		pesa	pesa	hun:fészek, fin:pesä, est:pesa: mok:пиза, erz:пизе, mar:пож, kom:поз
PWN:new.a.01		ud	ud	hun:új, fin:uusi, est:uus, mok:erz:од, sam:ođđa
PWN:path.n.03		ukte	ukte	hun:út, nen:ӈуˮ (ӈут)
PWN:pull.v.01		vedni	ved-ni	fin:vetää, est:vedama, erz:ветямс + hun:vezet
PWN:question.n.03		küsma	küs-ma
PWN:rain.n.01		pizma	pizma	mok:пизем, erz:пиземс + fin:pisara, est:pisar
PWN:read.v.01		luvni	luv-ni	fin:lukea, mok:лувомс, erz:ловомс, mar:лудаш, udm:лыдзьыны, kom:лыддьыны + hun:olvas
PWN:rock.n.01		kiv	kiv	hun:kő, fin:est:kivi, mokk:erz:кев, mar:кӱ
PWN:rope.n.01		köd	köd	fin:köysi, est:köis, hun:kötél
PWN:russia.n.04		Ros ma	Ros ma
PWN:russian.a.01		ros	ros
PWN:russian.n.02		ros kel	ros kel
PWN:samoyedic.n.01		nenec keli	nenec keli
PWN:sculpt.v.02		vesni	ves-ni
PWN:shadow.n.01		vuzer	vuzer	udm:вужер, kom:вуджӧр
PWN:shoulder.n.01		volga	volga	hun:váll, fin:olka, est:õlg, sam:oalgi
PWN:sky.n.01		ilma	ilma	fin:ilma, saa:albmi, udm:ин
PWN:sleep.n.01		adma	ad-ma
PWN:sleep.v.01		adni	ad-ni
PWN:slow.a.01		las	las	hun:lassú, man:lašinen
PWN:smoke.n.02		püs	püs	hun:füst, han:пусаӈ
PWN:snow.n.01		lum	lum	fin:est:lumi, mar:лум, udm:лымы, kom:лым, mok:erz:лов
PWN:snowman.n.01		lum morta	lum morta
PWN:soup.n.01		lem	lem
PWN:sour.a.02		sapam	sapam	hun:savanyú, fin:hapan, est:hapu, mok:шапама, erz:чапамо, kom:шома
PWN:star.n.03		täste	täste	fin:tähti, est:täht, mok:тяште, erz:теште
PWN:street.n.01		ulca	ulca	hun:utca, erz:(ulća), udm:ульча, mok:улич
PWN:sun.n.01		päj	päj
PWN:swamp.n.01		sov	sov
PWN:swamp.n.01		sov	sov	fin:suo, est:soo
PWN:swim.v.01		ujni	uj-ni
PWN:tail.n.01		polce	polce	hun:farok, mar:поч, udm:быж, kom:бӧж
PWN:take_away.v.03		vini	vi-ni	fin:viedä, est:viima, hun:visz
PWN:taste.n.01		ipse	ipse
PWN:tea.n.01		caj	caj
PWN:tear.n.01		künel	künel	hun:könny, fin:kyynel
PWN:tendon.n.01		son	son
PWN:thank.v.01		kösenni	kösen-ni
PWN:thanks.n.01		kösen	kösen	hun:köszön
PWN:toe.n.01		jalga sorme	jalga sorme
PWN:tongue.n.01		kel	kel
PWN:tooth.n.01		piv	piv
PWN:tree.n.01		pu	pu
PWN:udmurt.n.02		udmurt kel	udmurt kel
PWN:ugric.n.01		ugor keli	ugor keli
PWN:vein.n.01		ver son	ver son
PWN:water.n.06		ved	ved
PWN:wave.n.01		komba	komba	erz:кумбо, nen:хамба
PWN:wind.n.01		töl	töl	udm:тӧл, kom:тöв, fin:tuuli, est:tuul + hun:szél
PWN:winter.n.01		tälve	tälve
PWN:woman.n.01		naj	naj	hun:nő, fin:nainen, est:naine, erz:ни ‘vaimo’
PWN:work.n.01		töv	töv	fin:työ, est:töö, mok:erz:тев
PWN:work.v.01		tövni	töv-ni
PWN:worker.n.01		tövja	töv-ja
