id	Concepticon id	Definition
Modernity:box.N	1465	A generic man-made object with space in it (commonly made of cardboard or wood) that is used to keep and store many various different objects.
Modernity:brake.V	966	Decelerate using a mechanical device.
Modernity:bus.N	1070	A large, long-bodied motor vehicle equipped with seating for passengers, usually operating as part of a scheduled service.
Modernity:business.N	2931	A business is an organizational entity involved in the provision of goods and services to consumers.
Modernity:cake.N	2408	Cake is a form of sweet dessert that is typically baked.
Modernity:calculate.V	2867	To determine by mathematical processes.
Modernity:calendar.N	1967	A table showing the months and days of the year.
Modernity:camera.N	2618	Optical instrument for storing images.
Modernity:can.N	1051	A small, round-shaped metal container, used for different purposes like storing food or liquids, or collecting money.
Modernity:candy.N	874	Food item that is rich in sugar.
Modernity:car.N	1111	A four-wheeled motor vehicle used for land transport, usually propelled by a gasoline or diesel internal combustion engine.
Modernity:card.N	2619	A flat device in rectangular form that fulfills various functions.
Modernity:carriage.N	2620	A wheeled vehicle for people, usually horse-drawn.
Modernity:channel.N	2423	In physical geography, a channel is a type of landform consisting of the outline of a path of relatively shallow and narrow body of fluid, most commonly the confine of a river, river delta or strait.
Modernity:chime (action).V	2897	To ring the bells.
Modernity:christmas.N	2405	Christmas or Christmas Day (Old English: Crīstesmæsse, meaning Christ's Mass) is an annual festival commemorating the birth of Jesus Christ, observed most commonly on December 25 as a religious and cultural celebration among billions of people around the world.
Modernity:cigarette.N	969	A product manufactured out of cured and finely cut leaves, which are rolled or stuffed into a paper-wrapped cylinder for smoking.
Modernity:city.N	2547	A big village.
Modernity:companionship.N	2983	An interpersonal relationship is a strong, deep, or close association or acquaintance between two or more people that may range in duration from brief to enduring.
Modernity:compass.N	2606	An instrument for navigation and orientation.
Modernity:computer.N	3086	A device for automatically performing sets of logical or arithmetical instructions.
Modernity:cradle.N	2946	A bed for a baby.
Modernity:crane (device).N	3745	A device for lifting and moving heavy objects, typically consisting of a moving boom, beam, or gantry from which lifting gear is suspended.
Modernity:crime.N	1066	Any act done in violation of those duties which an individual owes to the community, and for the breach of which the law has provided that the offender shall make satisfaction to the public. (Source: BLACK)
Modernity:curtain.N	2621	Piece of cloth on a window intended to obscure the interior of a room or to prevent people from looking inside.
Modernity:damage (injury).N	2947	Loss or harm resulting from injury to person or objects.
Modernity:darts.N	2587	A game in which small arrows are thrown on a target.
Modernity:defect.N	1995	A fault or malfunction.
Modernity:doll.N	1659	A model of a human, a humanoid, an animal or a fictional character, usually made of cloth or plastic.
Modernity:dominoes.N	2594	A game played with rectangular ties.
Modernity:door knocker.N	2598	An item at a door that allows people outside a house to alert those inside.
Modernity:driver's license.N	599	Official document granting someone the authorisation to drive some vehicles.
Modernity:election.N	240	A process by which members of a population vote to choose a person to hold public office.
Modernity:electricity.N	59	A general term used for all phenomena caused by electric charge whether static or in motion.
Modernity:engine.N	2622	Machine that converts energy into mechanical energy.
Modernity:erhu.N	3052	A two-stringed fiddle common in Eastern Asia; Chinese violin, Chinese two-stringed fiddle.
Modernity:escalator.N	2596	A moving staircase.
Modernity:fairy tale.N	2937	A fairy tale is a type of short story that typically features folkloric fantasy characters, such as dwarves, dragons, elves, fairies, giants, gnomes, goblins, griffins, mermaids, talking animals, trolls, unicorns, or witches, and usually magic or enchantments.
Modernity:faucet.N	1488	A device applied to the end of a pipe in order to interrupt and regulate the flow of a liquid or gas.
Modernity:ferry.N	3733	A transport ship used for small distances from one port to another which often runs on a regular schedule.
Modernity:flag.N	2623	A squared piece of cloth that usually is attached to a stick and is used to fulfil various functions of representation.
Modernity:frame.N	2624	A structural system of support.
Modernity:funnel.N	2602	A pipe with a wide mouth used to channel liquid into containers with small opening.
Modernity:garbage.N	909	Unwanted or undesired material, usually discarded.
Modernity:globe.N	2588	A spherical representation of the earth.
Modernity:government.N	815	A body that has the authority to make and the power to enforce laws within a civil, corporate, religious, academic, or other organization or group.
Modernity:helicopter.N	2580	A type of rotorcraft in which lift and thrust are supplied by rotors.
Modernity:hospital.N	616	A place where people who are ill or injured are treated and taken care of by doctors and nurses.
Modernity:injection.N	1805	A method of putting liquid into the body with a hollow needle and a syringe which is pierced through the skin long enough for the material to be forced into the body.
Modernity:ink.N	2643	A liquid or paste that contains pigments or dyes and is used to color a surface to produce an image, text, or design.
Modernity:jack.N	50	A playing card marked with the figure of a servant or soldier.
Modernity:lavish.A	222	Very generous; giving (money, praise, etc.) in abundance.
Modernity:letter.N	1612	A text that is written to and for a specific person or set of people (and is most commonly sent to them by post).
Modernity:library.N	2428	A library is a collection of sources of information and similar resources, made accessible to a defined community for reference or borrowing.
Modernity:license plate.N	1790	Metal sheet for alphanumerical identification of vehicles, on their front and/or rear parts.
Modernity:logic.N	2429	Logic (from the Ancient Greek: λογική, logike) is the branch of philosophy concerned with the use and study of valid reasoning. The study of logic also features prominently in mathematics and computer science.
Modernity:machine.N	144	A device able to perform a particular, more or less complex, job.
Modernity:mail.N	167	A batch of letters and parcels received via post.
Modernity:map.N	2625	Symbolic depiction of areas and regions.
Modernity:mattress.N	105	A pad on which a person can recline and sleep.
Modernity:member.N	2424	A person who belongs to any organized or non-organized group of people.
Modernity:method.N	3971	A specific technique or way of performing an action to achieve a particular goal.
Modernity:minister.N	486	A person appointed to a high office in the government.
Modernity:motor.N	110	A machine in which power is applied to do work by the conversion of various forms of energy into mechanical force and motion.
Modernity:motorcycle.N	638	Single-track, two-wheeled motor vehicle.
Modernity:movie.N	216	A sequence of animated images.
Modernity:newspaper.N	1298	A publication (usually published daily or weekly and printed on cheap, low-quality paper) that contains news and other articles.
Modernity:number.N	1356	An abstract entity used to describe quantity.
Modernity:nurse.N	1104	A person trained to provide care for the sick.
Modernity:office.N	2430	An office is generally a room or other area where administrative work is done.
Modernity:palette (painting).N	2611	A flat surface on which a painter arragnes and mixes paints.
Modernity:pencil.N	2578	A writing device of solid pigment inside a protective wooden casing.
Modernity:petrol.N	2344	A transparent, petroleum-derived liquid that is used primarily as a fuel in internal combustion engines.
Modernity:petroleum.N	650	A comparatively volatile liquid bitumen composed principally of hydrocarbon, with traces of sulphur, nitrogen or oxygen compounds; can be removed from the earth in a liquid state.
Modernity:photograph (something).V	3123	Use a light-sensitive device to take an image of something.
Modernity:picture (photograph).N	3304	An image taken with a camera.
Modernity:picture.N	2401	A photograph or a painting.
Modernity:pill.N	395	A small, usually cylindrical object designed for easy swallowing, usually containing some sort of medication.
Modernity:plastic.N	654	A polymeric material (usually organic) of large molecular weight which can be shaped by flow; usually refers to the final product with fillers, plasticizers, pigments, and stabilizers included (versus the resin, the homogeneous polymeric starting material); examples are polyvinyl chloride, polyethylene, and urea-formaldehyde.
Modernity:police.N	656	Branch of the government which is charged with the preservation of public order, the promotion of public health and safety, and the prevention, detection, and punishment of crimes.
Modernity:postage stamp.N	596	A piece of paper that is affixed to letters or packages to pay for their delivery.
Modernity:postcard.N	1497	A rectangular piece of thick paper or thin cardboard intended to be written on and mailed without an envelope.
Modernity:postman.N	3095	Person who transports and delivers items sent with a postal service.
Modernity:powder.N	3368	The granular state of solid matter that was crushed or ground into finest particles.
Modernity:president.N	899	The title of one who presides over an organisation, company, trade union, university, country, etc.
Modernity:problem.N	2425	Something that poses difficulties and requires to be solved in someway.
Modernity:produce.V	2886	To cause to have existence.
Modernity:protractor.N	2612	A measuring instrument for measuring angles.
Modernity:racket.N	3096	Tool used for hitting a ball in tennis-like games.
Modernity:racquet.N	2585	A sports implement consisting of a handled frame with an open hoop across which a network of strings is streched tightly.
Modernity:radio.N	1315	A device that can capture the signal sent over radio waves and render the modulated signal as sound.
Modernity:reed pipe.N	3051	Organ pipe that is sounded by a vibrating a metal tongue which rests against a tunnel.
Modernity:refrigerator.N	3952	A storage box, compartment or room to stock goods by means of mechanical refrigeration.
Modernity:revolution.N	2431	A revolution (from the Latin revolutio, a turn around) is a fundamental change in power or organizational structures that takes place in a relatively short period of time.
Modernity:santa claus.N	2404	Santa Claus, also known as Saint Nicholas, Father Christmas, Kris Kringle and simply Santa, is an important figure with legendary, historical and folkloric origins who, in many Western cultures, is said to bring gifts to the homes of the good children on 24 December, the night before Christmas Day.
Modernity:screw.N	1802	A shaft with a helical groove or thread formed on its surface. Its main use is as a threaded fastener used to hold objects together.
Modernity:screwdriver.N	836	A hand tool used for driving screws.
Modernity:scroll.N	2608	A roll of papyrus.
Modernity:sewing machine.N	3097	A machine that partially automates the process of sewing, i.e. uniting pieces of material by using a needle and a thread.
Modernity:sink (basin).N	915	A bowl for washing hands, dishwashing or other purposes, often affixed to a wall.
Modernity:ski.N	2991	A ski is a narrow strip of semi-rigid material worn underfoot to glide over snow.
Modernity:slab.N	2952	Thick plate or slice.
Modernity:slice.N	2954	A thin flat piece cut from something.
Modernity:spectacles.N	1898	A pair of lenses in a frame that are worn in front of the eyes and are used to correct faulty vision or protect the eyes.
Modernity:state (politics).N	2955	A politically organized body of people usually occupying a definite territory.
Modernity:stethoscope.N	2599	An acousting medical device for auscultation.
Modernity:stilts.N	2593	Poles or pillars allowing a person to stand at a height above the ground.
Modernity:street.N	1362	A paved part of road, usually in a village or a town.
Modernity:stroke (of pen).N	2993	A single movement with a pen in order to write or paint something.
Modernity:tablet.N	396	A pill; a small, easily swallowed portion of a substance.
Modernity:tea.N	1373	The drink made by infusing dried leaves or buds in hot water.
Modernity:telephone.N	1379	An electronic device used for calling people.
Modernity:television.N	1788	A device for receiving television signals and displaying them in visual form.
Modernity:tennis ball.N	3103	Yellow, spherical object used for playing the game of tennis.
Modernity:theory.N	2433	Theory is a contemplative and rational type of abstract or generalizing thinking, or the results of such thinking. Depending on the context, the results might for example include generalized explanations of how nature works.
Modernity:tin (can).N	1582	A tin-plate canister, often cylindrical, for preserved foods such as fruit, meat, or fish.
Modernity:toilet.N	219	A room equipped with a toilet for urinating and defecating.
Modernity:toothbrush.N	2579	A device to brush one's teeth.
Modernity:toy.N	2403	A toy is an item that can be used for play.
Modernity:tragedy.N	2434	Tragedy (from the Greek: τραγῳδία, tragōidia[a]) is a form of drama based on human suffering that invokes in its audience an accompanying catharsis or pleasure in the viewing.
Modernity:train.N	900	A self-propelled, connected group of vehicles moving on rails.
Modernity:tray.N	2629	Tray is a shallow platform designed for carrying things.
Modernity:trellis (architecture).N	2610	An architectural structure supporting and displaying climbing plants.
Modernity:tripod.N	2607	A portable three-legged frame used as a platform for supporting the weight of some other object.
Modernity:tube.N	2956	Cylindrical structure or device.
Modernity:type (on something).V	3134	Using keys of a computer or typewriter.
Modernity:university.N	2435	A university (Latin: universitas, a whole) is an institution of higher (or tertiary) education and research which grants academic degrees in various subjects and typically provides undergraduate education and postgraduate education.
Modernity:vacuum (something).V	3135	Clean something by using a vacuum cleaner.
Modernity:vase.N	3746	An often round vessel which is used for decoration or for holding cut flowers.
Modernity:walking stick.N	1296	An object, specifically for providing support when walking.
Modernity:ware.N	2957	Manufactured articles.
Modernity:watch (tv).V	3136	The act of watching television.
Modernity:wealth.N	2996	Wealth is the abundance of valuable resources or valuable material possessions.
Modernity:wheelchair.N	2582	A chair with wheels.
Modernity:whip.N	2630	A tool traditionally used by humans to exert control over animals.
Modernity:wire.N	2631	A single, usually cylindrical, flexible strand or rod of metal.
Modernity:worker.N	2977	Somebody who works.
Modernity:workshop.N	1677	A room or building in which work, especially mechanical work, is carried on.
Modernity:wreath.N	2589	An assortment of flowers and other things that is constructed to resemble a ring.
Motion:abandon.V	1097	To give up control of, to surrender something.
Motion:accompany.V	1542	To go or travel in the company of someone.
Motion:anchor.N	1870	Something, usually a heavy piece of metal with points which dig into the sea-bed, used to hold a boat in one position.
Motion:approach.V	1778	To come near to; to move towards.
Motion:arrive.V	1387	To come to a destination.
Motion:axle.N	1769	The central part of a wheel, that usually does not turn.
Motion:blow (of wind).V	175	(Of the wind or a current of air) To move.
Motion:boat.N	1844	A craft used for transportation of goods, fishing, racing, recreational cruising, or military use on or in the water, propelled by oars or outboard motor or inboard motor or by wind.
Motion:bolt (move in haste).V	2860	Move in great haste.
Motion:bridge.N	1011	A structure that spans and provides a passage over a road, railway, river, or some other obstacle.
Motion:bring.V	692	To transport toward somewhere; to take something or somebody with oneself somewhere.
Motion:budge (oneself).V	2861	To move oneself.
Motion:canoe.N	1970	A light narrow boat driven by a paddle.
Motion:carry in hand.V	412	To hold or to take something from one place to another by hands.
Motion:carry on back.V	465	To hold or to take something from one place to another on the back.
Motion:carry on head.V	414	To hold or to take something from one place to another on top of the head.
Motion:carry on shoulder.V	413	To hold or to take something from one place to another on one shoulder.
Motion:carry person on back.V	2153	To hold or take some person fron one place to another on the back.
Motion:carry under arm.V	415	To hold or to take something from one place to another under the arm.
Motion:carry.V	700	To lift and bring to somewhere else; to transport by lifting.
Motion:cart.N	122	A two-wheeled vehicle, commonly without springs, drawn by mules, oxen, or the like, used for the conveyance of heavy goods.
Motion:catch.V	702	To take hold of, especially in the hands, so as to seize or restrain or stop the motion of.
Motion:clap.V	3110	Make noise by putting one's hand together.
Motion:clean (something).V	2235	To cause something to be no longer dirty.
Motion:climb.V	1102	To mount to a high or little accessible place using feet and hands, e.g. a tree, a mountain or a ladder.
Motion:close the eyes.V	2211	To shut down the eyes such that one cannot see anything anymore.
Motion:clumsy.A	3900	Moving carelessly or gracelessly, causing things to break or get knocked over.
Motion:come back.V	581	To go there where one was before.
Motion:come.V	1446	To move toward or to reach either the speaker, the person spoken to, or the subject of the speaker's narrative.
Motion:connect.V	2862	To link two objects with each other.
Motion:crawl or creep.V	3456	To move using ones hands and knees or with one's belly touching the ground.
Motion:crawl.V	96	To move using ones hands and knees.
Motion:creep.V	3215	To move with one's belly touching the ground.
Motion:crouch.V	296	To lower one's body close to the ground by bending one's knees completely.
Motion:dance (movement).N	3472	A series of rhythmic movements performed to music.
Motion:dance.V	1879	To move with rhythmic steps or movements, especially in time to music.
Motion:dash (of vehicle).V	2863	To move quickly (of a vehicle).
Motion:disappear.V	485	To cease to appear, to not be visible anymore.
Motion:dispel.V	30	Force to go away.
Motion:dive.V	119	To swim under water.
Motion:drip (emit liquid).V	2253	To emit drops of liquid.
Motion:drip (fall in globules).V	808	To fall in globules or small portions, as water or other liquid.
Motion:drip or drop something.V	3359	To fall in globules or small portions, as water or other liquid or to let something fall down.
Motion:drive or impel or ride.V	3291	Drive a vehicle or cause vehicles, other objects, people or animals to move (typically while following them or sitting/standing on them).
Motion:drive.V	741	To operate a vehicle.
Motion:drop.V	750	The event of moving to a lower position due to the effect of gravity.
Motion:drumming.V	111	To produce sound with a drum.
Motion:dugout.N	2189	A boat made from a hollowed tree trunk.
Motion:enter.V	749	To go into.
Motion:fall (of snow and rain).V	2234	The process by which rain or snow descend from the clouds to the earth.
Motion:fall.V	1280	To descend in free fall due to the effect of gravity.
Motion:fetch.V	3551	To go after something or somebody and bring them back.
Motion:firedrill.N	517	A fire drill is a method of practicing the evacuation of a building for a fire or other emergency.
Motion:flee.V	956	Leaving a dangerous or unpleasant situation.
Motion:float.V	1574	Of an object or substance, to be supported by a liquid of greater density than the object so as that part of the object or substance remains above the surface. [WK:float]
Motion:flow.V	2003	To move as a fluid from one position to another (e.g. of water or of people).
Motion:fly (move through air).V	1441	To move autonomously through the air, without any part of the object or object's enclosure touching anything attached to the ground.
Motion:follow.V	1085	To go or come after (in physical space) someone or something.
Motion:go down (descend).V	2014	To go from a higher to a lower place.
Motion:go out.V	1107	To move out of or depart from.
Motion:go up (ascend).V	705	To move from a lower to a higher position by walking or climbing.
Motion:go up or rise (oneself).V	3207	To move from a lower to a higher position or to get up from a lying, sitting, or kneeling position.
Motion:go.V	695	To get from one place to another by any means.
Motion:hitchhike.V	3117	Travel by means of lifts in vehicles.
Motion:impel.V	3290	Cause objects, people or animals to move (typically by following them).
Motion:insert.V	3071	To cause something to go into; to infix; to introduce.
Motion:journey.N	2393	Moving from one place to the other or moving around without.
Motion:jump.V	1829	To propel oneself rapidly upward such that momentum causes the body to become airborne.
Motion:kick.V	1135	To strike somebody or something with the foot.
Motion:kneel.V	66	To go down on one or both knees.
Motion:knock.V	2396	Making a sound by beating with the hand or with a tool against something.
Motion:lame person.N	2322	A person that is not able to walk.
Motion:land (descend).V	1922	To descend to a surface, especially from the air.
Motion:lead (guide).V	43	To guide by moving in front.
Motion:leave.V	1752	To move away from a place, a situation or a talk.
Motion:lift.V	501	To cause an object to have a higher location than previously.
Motion:limp.V	366	To walk lamely, as if favouring one leg.
Motion:mast.N	184	Post of wood or steel, long, round and straight, standing on a ship, intended to carry the sails, flags, floodlights, or communications equipment.
Motion:motionless.A	1636	Not moving.
Motion:move (oneself).V	2874	To get oneself in motion in order to arrive at some other place.
Motion:move quickly.V	2220	To move forward in a fast way.
Motion:move.V	765	To change the location of an object.
Motion:movement.N	3695	A change of position or place.
Motion:outrigger.N	416	A stabilizer for a canoe; spars attach to a shaped log or float parallel to the hull.
Motion:overcome.V	1999	To surmount a physical or an abstract obstacle.
Motion:paddle (movement).V	3668	To make a boat move by pushing a pole with a wide end through the water.
Motion:pass by.V	558	To travel past without stopping.
Motion:path or road.N	2457	A piece of ground that people can walk or drive along.
Motion:path.N	2252	A narrow piece of ground that people can walk along.
Motion:port.N	610	Area of water next to the coast, often surrounded by thick walls, where ships and boats can be sheltered.
Motion:pound (food).V	3768	To prepare food with a pounding or beating movement, for example, pre-processing of grain or of sago.
Motion:pursue.V	1047	Trying to achieve, to catch, or to reach something or someone.
Motion:push.V	1452	To apply a force to (an object), in order that it moves away from the origin of the force that was applied.
Motion:put (in a sitting position).V	3832	To put someone or oneself in a sitting position.
Motion:put (in a standing position).V	3833	To put someone or oneself in a standing position.
Motion:raft.N	1664	A collection of logs, planks, casks, etc., fastened together for floating on water.
Motion:raise.V	1317	To cause to rise; to move something from a lower position to a higher one.
Motion:return home.V	142	To go to one's home after having left it, such as after a working day or holidays.
Motion:ride.V	367	To transport oneself by sitting on and directing an animal.
Motion:rise (oneself).V	1512	To get up from a lying, sitting, or kneeling position.
Motion:road.N	667	A long piece of hard ground that people can drive along from one place to another.
Motion:roll.V	827	To tip laterally.
Motion:row.V	1849	To pull oars through water in order to make a water vehicle (such as a boat) move.
Motion:rudder.N	108	An underwater vane used to steer a vessel. The rudder is controlled by means of a wheel, tiller or other apparatus.
Motion:run.V	1519	To move quickly by alternately making a short jump off of either foot.
Motion:sail.V	787	To traverse or travel by ship on a body of water.
Motion:sailcloth.N	786	A large piece of fabric (as canvas) by means of which wind is used to propel a sailing vessel.
Motion:see a doctor.V	512	To go to a doctor.
Motion:send.V	1127	To make something (an object, a message) go from one place to another.
Motion:shake.V	1909	To cause (something) to move rapidly from side to side.
Motion:ship.N	740	A vessel propelled by engines or sails for navigating on the water, especially a large vessel that can not be carried aboard another, as distinguished from a boat.
Motion:sink (descend).V	1088	To go down in water, mud, quicksand etc. or to cause something to go down in it.
Motion:sit down.V	1649	To move into a position where the upper body is upright and the bottom is resting  on a surface or the floor.
Motion:skate.V	3129	Move swiftly over a smooth or slippery surface.
Motion:sled.N	16	A general term used to refer to a vehicle for transportation on ice or snowy surfaces.
Motion:sledge.N	368	A low sled drawn by animals, typically on snow, ice or grass.
Motion:slip.V	1324	To fall over (usually unexpectedly) onto the ground or floor, due to the floor being slippery, smooth or slimy.
Motion:slowly.?	2165	With low speed.
Motion:spill (something).V	3130	Cause liquids to flow over the edge or out of a container.
Motion:splash.V	365	To cause a liquid to spatter about. [WN:365]
Motion:spoke.N	182	One of the connecting rods between the wheel hub and the rim.
Motion:squat.V	3163	Have bent knees with the body weight is on the feet.
Motion:stamp.V	3618	To put your foot down on the ground heavily and noisily; to walk in this way.
Motion:stand up.V	570	To rise from a lying or sitting position.
Motion:step (verb).V	2065	To move the foot in walking; to advance or recede by raising and moving one of the feet to another resting place, or by moving both feet in succession.
Motion:strew.V	572	To distribute objects or pieces of something over an area, especially in a random manner.
Motion:stumble.V	3617	To step awkwardly or to catch your foot on something and almost fall.
Motion:surf.V	3132	Ride on waves by using a flat object.
Motion:surpass.V	402	To go beyond a limit.
Motion:sway.V	573	To move or swing from side to side; or backward and forward; to rock.
Motion:swim.V	1439	To move through the water, without touching the bottom.
Motion:throw.V	1456	To cause (an object) to move rapidly through the air, with the force of the hand or arm.
Motion:thrust.V	246	To push forcefully.
Motion:transit.V	574	To cross something (a river, a street etc.).
Motion:transport.V	2711	To carry larger objects, usually with help of a vehicle.
Motion:travel.V	3665	To make a journey, especially over a long distance.
Motion:traverse.V	1742	To go or pass through something.
Motion:tread.V	575	To step or walk (on or over something); to trample.
Motion:turn (something).V	1445	To position by moving an object around its axis.
Motion:turn around.V	1444	Change the direction in which one is moving or facing.
Motion:turn.V	1588	To change the direction of movement or the direction in which something is facing.
Motion:twist (around).V	3199	To wind something around something else.
Motion:twist (together).V	3236	To wind several things around each other (e.g. in order to form a rope or thread).
Motion:twist.V	430	To wind something around something else or several things around each other.
Motion:vehicle.N	2549	Any larger device that can be used to move persons and things.
Motion:wagon.N	959	A wheeled vehicle, generally drawn by horse power.
Motion:wait (for).V	1590	To refrain from acting or moving for some duration or until some event occurs.
Motion:walk.V	1443	To move from one place to another by moving legs alternately, so that at least one foot is in contact with the floor or surface at any one time.
Motion:wander.V	3666	To walk around idly without a specific purpose and direction.
Motion:wheel.N	710	A circular object that spins around a central axe thereby allowing relatively low-friction movement.
Motion:wrap.V	1113	To surround on all sides.
Motion:yoke (verb).V	2217	To put a yoke or a harness on animals.
Motion:yoke.N	14	A device for joining together a pair of draft animals.
Music:accordion.N	2603	A musical instrument.
Music:bell.N	2246	A simple sound-making device.
Music:brass instrument (horn or trumpet).N	2136	Any musical instrument that is a member of the brass family of musical instruments, usually a horn or a trumpet.
Music:conduct.V	3111	To lead some kind of musical performance.
Nature:active.A	1861	Characterized by energetic activity.
Nature:air.N	27	A predominantly mechanical mixture of a variety of individual gases forming the earth's enveloping atmosphere.
Nature:arctic lights.N	261	A natural light display in the sky particularly in the Arctic regions.
Nature:area.N	2980	Area is the quantity that expresses the extent of a two-dimensional figure or shape, or planar lamina, in the plane.
Nature:ash.N	646	The incombustible matter remaining after a substance has been incinerated.
Nature:bay.N	663	An open, curving indentation made by the sea or a lake into a coastline.
Nature:be situated.?	62	The way in which something is positioned vis-à-vis its surroundings.
Nature:beach.N	3460	A sandy strip of land close to the sea or ocean.
Nature:bolt (of lightning).N	2007	A sudden, short, temporary burst of light.
Nature:bottom.N	690	The part furthest in the direction toward which an unsupported object would fall.
Nature:boulder.N	3810	A large rock fragment of natural origin, usually too heavy to be moved by a single person.
Nature:branch (bifurcation).N	826	A separation of a river, a road, etc.
Nature:breeze.N	3982	A gentle to moderate wind.
Nature:brook.N	3821	A very shallow flowing body of water smaller than a creek that can easily be crossed.
Nature:bubble.N	3689	A small ball of air or gas in a liquid.
Nature:burn (something).V	141	To cause to undergo fire combustion.
Nature:burning.V	1428	To be consumed by fire.
Nature:bushfire.N	2811	An uncontrolled fire in a wooded or grassy area.
Nature:calm (of sea).N	3820	A situation in which a body of water is free from disturbance and without wind or waves.
Nature:calm.A	258	Describing a quiet body of water free from disturbance and without wind or waves.
Nature:cape.N	1662	A piece of land extending into water.
Nature:cave.N	1155	1) An underground hollow with access from the ground surface or from the sea, often found in limestone areas and on rocky coastlines.2) A natural cavity, chamber or recess which leads beneath the surface of the earth, generally in a horizontal or obliquely inclined direction. It may be in the form of a passage or a gallery, its shape depending in part on the joint pattern or structure of the rock and partly on the type of process involved in its excavation. Thus, caves worn by subterranean rivers may be different in character from, and of considerably greater extent than, a sea-cave eroded by marine waves.3) A natural underground open space, generally with a connection to the surface and large enough for a person to enter. The most common type of cave is formed in a limestone by dissolution. (Source: CED /  WHIT /  BJGEO)
Nature:charcoal or coal.N	2659	Any combustible black, brown, or gray rocklike substance, usually charcoal or coal.
Nature:charcoal.N	1188	A porous solid product containing 85-98% carbon and produced by heating carbonaceous materials such as cellulose, wood or peat at 500-600 C° in the absence of air. (Source: MGH)
Nature:clearing.N	2284	A part of a forest that contains no trees.
Nature:cliff.N	992	A steep coastal declivity which may or may not be precipitous, the slope angle being dependent partly on the jointing, bedding and hardness of the materials from which the cliff has been formed, and partly on the erosional processes at work.(Source: WHIT)
Nature:climate.N	2426	Climate is the long-term pattern of weather in a particular area.
Nature:cloud or fog.N	3275	High or low elevation water suspensions.
Nature:cloud.N	1489	Suspensions of minute water droplets or ice crystals produced by the condensation of water vapour.
Nature:cloudy day.N	2743	A day with many clouds.
Nature:cloudy.A	2341	Full of clouds (mostly referring to a cloudy day).
Nature:coal.N	2658	A combustible black or brownish-black sedimentary rock usually occurring in rock strata in layers or veins.
Nature:coast.N	1525	A line or zone where the land meets the sea or some other large expanse of water.
Nature:cold weather.N	3694	A period of time, characterized by low temperatures.
Nature:cool down.V	3068	To cause a decrease in temperature of an object or space; to cause something to become cold.
Nature:coral rock.N	3179	Limestone created from the skeleton of reef-forming stony corals (Scleractinia), displaying their growth patterns.
Nature:countryside.N	3200	The region outside of a city or town.
Nature:creek (tidal).N	990	A narrow inlet or bay, especially of the sea.
Nature:current (stream).N	2935	A current, in a river or stream, is the flow of water influenced by gravity as the water moves downhill to reduce its potential energy.
Nature:curved.A	1698	Being bent as to form an arch.
Nature:darkness.N	11	Absence of light.
Nature:day or sun.N	2140	Either the bright object at the sky that illuminates the earth completely, or the time when the object illuminates the earth.
Nature:desert.N	3687	A barren area of landscape, typically covered with sand, characterized by little precipitation and hostile living conditions for plant and animal life.
Nature:dew.N	1977	Atmospheric moisture that condenses after a warm day and appears during the night on cool surfaces as small drops.
Nature:diamond.N	3878	The hardest known mineral on earth, consisting of crystalline carbon.
Nature:dilute.V	550	To weaken or make thinner by adding a foreign substance or a solvent (e.g. water) to a solution.
Nature:drizzle.N	1016	Fine, light rain.
Nature:drop (of a liquid).N	3748	A small amount of a liquid that falls in a round shape.
Nature:dust.N	2	Any kind of solid material divided in particles of very small size.
Nature:earth (soil).N	1228	The soft and loose material forming a great part of the Earth surface.
Nature:earth (wet substance).N	2158	The soft and loose material forming a great part of the Earth surface in wet form.
Nature:earth or land.N	3603	Referring either to agriculturally viable land (e.g. for farming) or earth in its natural form.
Nature:earthquake.N	6	The violent shaking of the ground produced by deep seismic waves, originating from the epicentre.
Nature:eclipse.N	2285	An astronomical event that occurs when an astronomical object is temporarily obscured, either by passing into the shadow of another body or by having another body pass between it and the viewer.
Nature:elevation.N	2936	The elevation of a geographic location is its height above or below a fixed reference point, most commonly a reference geoid, a mathematical model of the Earth's sea level as an equipotential gravitational surface (see Geodetic system, vertical datum).
Nature:embers.N	67	A small, glowing piece of coal or wood, as in a dying fire.
Nature:erupt.V	3112	Burst of matter from a volcano.
Nature:estuary.N	2286	A partly enclosed coastal body of brackish water with one or more rivers or streams flowing into it, and with a free connection to the open sea.
Nature:extinguish.V	127	To make something stop burning.
Nature:ferment.V	3652	To undergo the chemical change characterized by the conversion of sugars into alcohol under the influence of enzymes.
Nature:fire or firewood.N	2675	The state of combustion in which inflammable material burns, producing heat, flames and often smoke or the Wood intended to be burned.
Nature:fire.N	221	The state of combustion in which inflammable material burns, producing heat, flames and often smoke.
Nature:firewood.N	10	Wood intended to be burned.
Nature:flame.N	889	A bright yellow, red or bluish light which emerges during combustion processes.
Nature:flash (verb).V	2377	The process by which flashes of light are caused by the discharge of atmospheric electrical charge.
Nature:flexible.A	1691	Capable of being flexed or bent without breaking; able to be turned, bowed, or twisted, without breaking; pliable; not stiff or brittle.
Nature:flowing body of water.N	3311	A generic way to refer to a flowing body of water, for example used to refer to rivers, brooks, streams, creeks etc.
Nature:foam.N	1768	A mass of adjacent small pockets of air or bubbles with solid or liquid boundaries.
Nature:fog.N	249	Water droplets or, rarely, ice crystals suspended in the air in sufficient concentration to reduce visibility appreciably.
Nature:foggy.A	3759	A thick layer of fog.
