id	Concepticon id	Definition
Animalia:armadillo.N	1885	(Family Dasypodidae) Burrowing chiefly nocturnal mammal with body covered with strong horny plates.
Animalia:baboon.N	1197	Large ground based monkey having doglike muzzles.
Animalia:badger.N	3717	A mammal which belong to the family Mustelidae.
Animalia:bandicoot.N	3012	Marsupial of Peramelemorphia order.
Animalia:barbel.N	524	European freshwater fish belonging to the family of carps (Cyprinidae), Genus of barbus.
Animalia:bark or shell.?	3865	Cover of the bodies of animals and plants, including the hard exterior part of mollusks, oysters, etc.
Animalia:barking.V	1206	To produce a loud, short, explosive sound similar to that of a dog.
Animalia:bat.N	1793	A small, nocturnal, flying mammal of the order Chiroptera, which navigates by means of echolocation. It looks like a mouse with membranous wings extending from the forelimbs to the hind limbs or tail.
Animalia:bear.N	1820	A large beast of prey of the family Ursidae, related to the dog and raccoon, having shaggy hair, a very small tail, and flat feet.
Animalia:beaver.N	1194	A mammal of the genus Castor, having a wide, flat tail and webbed feet.
Animalia:bedbug.N	1949	A small blood-sucking insect that lives in houses, especially beds.
Animalia:bee.N	665	Any of the membranous-winged insects which compose the superfamily Apoidea in the order Hymenoptera characterized by a hairy body and by sucking and chewing mouthparts.
Animalia:beehive.N	88	A structure that provides a natural habitation for bees; as in a hollow tree.
Animalia:beeswax.N	1931	A yellowish or dark brown wax secreted by honeybees for constructing honeycombs.
Animalia:beetle.N	2242	A group of insects which are biologically classified in the order Coleoptera /koʊliːˈɒptərə/.
Animalia:bird nest.N	3549	A nest in which birds lay and hatch their eggs.
Animalia:bird of paradise.N	2673	A bird of the family Paradisaeidae.
Animalia:bird.N	937	Any of the bipedal, warm-blooded vertebrates that lay eggs having wings which, for most species, enables them to fly.
Animalia:bison.N	3142	Large horned wild animal of the Bovidae family. Related to buffalo but differs, for example, in horn shape and form.
Animalia:bivalvia (mussels or oysters).N	2785	A class of marine and freshwater molluscs that have laterally compressed bodies enclosed by a shell consisting of two hinged parts.
Animalia:black cockatoo.N	3013	Black cockatoo, usually the Palm cockatoo.
Animalia:black duck.N	3014	Pacific black duck (Anas superciliosa).
Animalia:blue tongued skink.N	3021	Australian skins comprising the genus Tiliqua.
Animalia:blue-and-yellow macaw.N	3927	Type of bird commonly found in South America with blue and yellow feathers
Animalia:boar (male pig).N	1348	An adult male pig.
Animalia:body louse.N	311	A parasitic insect that infests the body and clothes of humans and feeds on blood.
Animalia:bovine.N	3044	Member of the Bovinae subfamily, mostly pointing to bulls, cows and oxes.
Animalia:brood (verb).V	2075	To keep an egg warm to make it hatch.
Animalia:budgerigar.N	3720	A bird which is often kept as a pet and belongs to the species of Melopsittacus undulatus.
Animalia:buffalo.N	934	A wild heavy bison of the species Bison bison, having a broad massive horned head.
Animalia:bug.N	1027	Any of the suborder Heteroptera, having piercing and sucking mouthparts, specialized as a beak. (Source: CED)
Animalia:bull.N	1008	Male bovine animal.
Animalia:butterfly.N	1791	A lepidopteran that is active at day.
Animalia:buzzard.N	1865	Diurnal bird of prey belonging to the Accipitridae family.
Animalia:cackle.V	3683	To produce an unpleasant, sharp sound, characteristic of a hen, especially after laying an egg.
Animalia:cage.N	3283	A structure, usually made with bars or wire, for confining animals.
